======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18
Checkpoint: ./model/resnet18-unet-ori/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.1848 ± 0.1675
DICE: 0.2821 ± 0.2137
ACCURACY: 0.4698 ± 0.2160
PRECISION: 0.2003 ± 0.1935
RECALL: 0.8923 ± 0.1944
F1: 0.2821 ± 0.2137


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00203_style3      0.0752   0.1398   0.2090   0.0753   0.9808   0.1398
00203_style4      0.1251   0.2223   0.5656   0.1259   0.9474   0.2223
00203_style5      0.0896   0.1645   0.3361   0.0896   0.9970   0.1645
00203_style6      0.0934   0.1709   0.3927   0.0938   0.9547   0.1709
00203_style7      0.0660   0.1238   0.5970   0.0722   0.4342   0.1238
00220             0.3860   0.5570   0.6170   0.6513   0.4866   0.5570
00220_style0      0.6587   0.7942   0.7472   0.6650   0.9858   0.7942
00220_style1      0.6160   0.7624   0.7012   0.6286   0.9686   0.7624
00220_style2      0.5359   0.6979   0.5751   0.5384   0.9915   0.6979
00220_style3      0.5320   0.6945   0.5646   0.5320   1.0000   0.6945
00220_style4      0.5319   0.6944   0.6584   0.6231   0.7841   0.6944
00220_style5      0.6359   0.7775   0.7195   0.6400   0.9902   0.7775
00220_style6      0.5669   0.7236   0.6893   0.6463   0.8220   0.7236
00220_style7      0.5040   0.6702   0.7199   0.8029   0.5751   0.6702
00223             0.1812   0.3068   0.8897   0.2617   0.3707   0.3068
00223_style0      0.0921   0.1687   0.3527   0.0921   0.9979   0.1687
00223_style1      0.0788   0.1462   0.2311   0.0788   1.0000   0.1462
00223_style2      0.0795   0.1474   0.2385   0.0795   1.0000   0.1474
00223_style3      0.0802   0.1484   0.2450   0.0802   1.0000   0.1484
00223_style4      0.1259   0.2237   0.5683   0.1269   0.9452   0.2237
00223_style5      0.1010   0.1834   0.4247   0.1012   0.9818   0.1834
00223_style6      0.1091   0.1967   0.4754   0.1094   0.9761   0.1967
00223_style7      0.1355   0.2387   0.6798   0.1415   0.7629   0.2387
00225             0.3116   0.4752   0.9412   0.3390   0.7942   0.4752
00225_style0      0.0601   0.1134   0.4760   0.0601   1.0000   0.1134
00225_style1      0.0414   0.0795   0.2245   0.0414   1.0000   0.0795
00225_style2      0.0432   0.0828   0.2573   0.0432   1.0000   0.0828
00225_style3      0.0423   0.0812   0.2422   0.0423   1.0000   0.0812
00225_style4      0.0908   0.1665   0.7047   0.0920   0.8804   0.1665
00225_style5      0.0653   0.1226   0.5482   0.0656   0.9423   0.1226
00225_style6      0.0742   0.1382   0.5821   0.0742   1.0000   0.1382
00225_style7      0.0545   0.1033   0.7308   0.0581   0.4628   0.1033
00228             0.3013   0.4631   0.7350   0.3032   0.9802   0.4631
00228_style0      0.1663   0.2851   0.4154   0.1663   1.0000   0.2851
00228_style1      0.1556   0.2693   0.3673   0.1556   1.0000   0.2693
00228_style2      0.1648   0.2830   0.4091   0.1648   1.0000   0.2830
00228_style3      0.1537   0.2664   0.3578   0.1537   1.0000   0.2664
00228_style4      0.2448   0.3933   0.6501   0.2465   0.9726   0.3933
00228_style5      0.1982   0.3308   0.5284   0.1982   1.0000   0.3308
00228_style6      0.1903   0.3197   0.5038   0.1903   1.0000   0.3197
00228_style7      0.1537   0.2664   0.7077   0.1883   0.4552   0.2664
00233             0.4076   0.5791   0.8982   0.6906   0.4987   0.5791
00233_style0      0.2094   0.3463   0.4699   0.2094   1.0000   0.3463
00233_style1      0.1870   0.3151   0.3896   0.1870   1.0000   0.3151
00233_style2      0.1744   0.2970   0.3456   0.1749   0.9844   0.2970
00233_style3      0.1729   0.2949   0.3285   0.1729   1.0000   0.2949
00233_style4      0.2354   0.3811   0.5823   0.2406   0.9160   0.3811
00233_style5      0.2253   0.3677   0.5171   0.2253   1.0000   0.3677
00233_style6      0.2543   0.4055   0.5905   0.2547   0.9947   0.4055
00233_style7      0.0403   0.0775   0.5993   0.0573   0.1199   0.0775
00238             0.1087   0.1961   0.8384   0.1429   0.3126   0.1961
00238_style0      0.0975   0.1776   0.4162   0.0975   1.0000   0.1776
00238_style1      0.0725   0.1352   0.1935   0.0725   1.0000   0.1352
00238_style2      0.0700   0.1308   0.1622   0.0700   1.0000   0.1308
00238_style3      0.0649   0.1220   0.0920   0.0649   1.0000   0.1220
00238_style4      0.0833   0.1539   0.5320   0.0868   0.6748   0.1539
00238_style5      0.0812   0.1502   0.3959   0.0824   0.8464   0.1502
00238_style6      0.1071   0.1935   0.4851   0.1073   0.9795   0.1935
00238_style7      0.0357   0.0690   0.5917   0.0403   0.2399   0.0690
00250             0.0425   0.0815   0.9623   0.0465   0.3320   0.0815
00250_style0      0.0074   0.0146   0.3211   0.0074   1.0000   0.0146
00250_style1      0.0063   0.0125   0.2005   0.0063   1.0000   0.0125
00250_style2      0.0065   0.0130   0.2329   0.0065   1.0000   0.0130
00250_style3      0.0060   0.0119   0.1632   0.0060   1.0000   0.0119
00250_style4      0.0102   0.0203   0.5126   0.0102   1.0000   0.0203
00250_style5      0.0090   0.0179   0.4454   0.0090   1.0000   0.0179
00250_style6      0.0090   0.0178   0.4420   0.0090   1.0000   0.0178
00250_style7      0.0133   0.0263   0.6302   0.0133   0.9921   0.0263
00270             0.1380   0.2425   0.9424   0.1555   0.5505   0.2425
00270_style0      0.0195   0.0382   0.1896   0.0195   0.9608   0.0382
00270_style1      0.0171   0.0336   0.2066   0.0172   0.8240   0.0336
00270_style2      0.0187   0.0367   0.1399   0.0187   0.9762   0.0367
00270_style3      0.0181   0.0356   0.0932   0.0181   1.0000   0.0356
00270_style4      0.0243   0.0474   0.3260   0.0243   1.0000   0.0474
00270_style5      0.0227   0.0444   0.2792   0.0227   1.0000   0.0444
00270_style6      0.0190   0.0373   0.1912   0.0190   0.9346   0.0373
00270_style7      0.0497   0.0947   0.7282   0.0501   0.8478   0.0947
00281             0.4674   0.6370   0.6789   0.5378   0.7810   0.6370
00281_style0      0.4592   0.6294   0.6178   0.4840   0.8996   0.6294
00281_style1      0.3863   0.5573   0.4594   0.3955   0.9432   0.5573
00281_style2      0.3837   0.5546   0.4254   0.3850   0.9917   0.5546
00281_style3      0.3815   0.5523   0.4151   0.3815   1.0000   0.5523
00281_style4      0.4558   0.6262   0.6375   0.4986   0.8416   0.6262
00281_style5      0.4490   0.6197   0.6017   0.4727   0.8995   0.6197
00281_style6      0.4597   0.6298   0.6268   0.4904   0.8799   0.6298
00281_style7      0.4703   0.6397   0.7489   0.6632   0.6179   0.6397
00284             0.2137   0.3522   0.9834   0.2331   0.7206   0.3522
00284_style0      0.0084   0.0166   0.2552   0.0084   1.0000   0.0166
00284_style1      0.0075   0.0149   0.1713   0.0075   1.0000   0.0149
00284_style2      0.0071   0.0142   0.1273   0.0071   1.0000   0.0142
00284_style3      0.0069   0.0137   0.0941   0.0069   1.0000   0.0137
00284_style4      0.0128   0.0254   0.5176   0.0128   1.0000   0.0254
00284_style5      0.0093   0.0183   0.3278   0.0093   1.0000   0.0183
00284_style6      0.0101   0.0200   0.3841   0.0101   1.0000   0.0200
00284_style7      0.0037   0.0075   0.7030   0.0038   0.1778   0.0075
00296             0.5511   0.7106   0.9556   0.6026   0.8659   0.7106
00296_style0      0.0903   0.1657   0.3875   0.0906   0.9655   0.1657
00296_style1      0.0770   0.1429   0.2558   0.0770   0.9848   0.1429
00296_style2      0.0720   0.1342   0.1890   0.0720   0.9981   0.1342
00296_style3      0.0757   0.1408   0.2319   0.0757   0.9987   0.1408
00296_style4      0.0860   0.1583   0.3308   0.0860   0.9991   0.1583
00296_style5      0.0872   0.1604   0.3420   0.0872   0.9978   0.1604
00296_style6      0.0846   0.1560   0.3794   0.0853   0.9102   0.1560
00296_style7      0.0878   0.1614   0.6201   0.0937   0.5802   0.1614
00300             0.2323   0.3771   0.6094   0.2467   0.7996   0.3771
00300_style0      0.1513   0.2629   0.4409   0.1632   0.6744   0.2629
00300_style1      0.1248   0.2218   0.2540   0.1311   0.7193   0.2218
00300_style2      0.1414   0.2477   0.1967   0.1438   0.8947   0.2477
00300_style3      0.1439   0.2517   0.2613   0.1480   0.8402   0.2517
00300_style4      0.1807   0.3061   0.3932   0.1842   0.9055   0.3061
00300_style5      0.1848   0.3119   0.4457   0.1910   0.8498   0.3119
00300_style6      0.1694   0.2897   0.3952   0.1753   0.8344   0.2897
00300_style7      0.0205   0.0401   0.5796   0.0303   0.0595   0.0401
00344             0.0172   0.0339   0.7704   0.0174   0.6645   0.0339
00344_style0      0.0078   0.0155   0.2305   0.0078   1.0000   0.0155
00344_style1      0.0073   0.0145   0.1775   0.0073   1.0000   0.0145
00344_style2      0.0065   0.0129   0.0750   0.0065   1.0000   0.0129
00344_style3      0.0064   0.0127   0.0590   0.0064   1.0000   0.0127
00344_style4      0.0099   0.0197   0.3964   0.0099   1.0000   0.0197
00344_style5      0.0081   0.0160   0.2666   0.0081   0.9836   0.0160
00344_style6      0.0094   0.0187   0.3636   0.0094   1.0000   0.0187
00344_style7      0.0156   0.0308   0.6502   0.0157   0.9178   0.0308
00348             0.3766   0.5471   0.6830   0.4017   0.8576   0.5471
00348_style0      0.2650   0.4190   0.4362   0.2721   0.9104   0.4190
00348_style1      0.2669   0.4213   0.3866   0.2669   1.0000   0.4213
00348_style2      0.2717   0.4273   0.4016   0.2717   1.0000   0.4273
00348_style3      0.2673   0.4218   0.3880   0.2673   1.0000   0.4218
00348_style4      0.2986   0.4599   0.4982   0.3027   0.9570   0.4599
00348_style5      0.2752   0.4316   0.4728   0.2842   0.8963   0.4316
00348_style6      0.2888   0.4481   0.4804   0.2937   0.9447   0.4481
00348_style7      0.1649   0.2832   0.6215   0.2453   0.3348   0.2832
00352             0.0136   0.0268   0.7395   0.0138   0.4423   0.0268
00352_style0      0.0106   0.0209   0.2413   0.0106   1.0000   0.0209
00352_style1      0.0101   0.0200   0.2050   0.0101   1.0000   0.0200
00352_style2      0.0087   0.0172   0.0756   0.0087   1.0000   0.0172
00352_style3      0.0084   0.0167   0.0454   0.0084   1.0000   0.0167
00352_style4      0.0107   0.0211   0.3909   0.0107   0.8108   0.0211
00352_style5      0.0103   0.0204   0.2804   0.0103   0.9238   0.0204
00352_style6      0.0099   0.0196   0.2172   0.0099   0.9656   0.0196
