======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet50
Checkpoint: ./model/resnet50-unet-aug/loss3_bce_ftv_lap/resnet50_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2394 ± 0.2007
DICE: 0.3475 ± 0.2428
ACCURACY: 0.5888 ± 0.2581
PRECISION: 0.2671 ± 0.2344
RECALL: 0.8685 ± 0.1880
F1: 0.3475 ± 0.2428


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00196_style6      0.0704   0.1316   0.4502   0.0710   0.9040   0.1316
00196_style7      0.0835   0.1542   0.5744   0.0848   0.8417   0.1542
00203             0.6380   0.7790   0.9733   0.8512   0.7182   0.7790
00203_style0      0.0892   0.1637   0.3881   0.0899   0.9140   0.1637
00203_style1      0.0685   0.1283   0.1091   0.0685   1.0000   0.1283
00203_style2      0.0782   0.1450   0.2272   0.0782   1.0000   0.1450
00203_style3      0.0786   0.1458   0.2317   0.0786   1.0000   0.1458
00203_style4      0.2377   0.3842   0.7940   0.2389   0.9802   0.3842
00203_style5      0.2965   0.4574   0.8494   0.2994   0.9687   0.4574
00203_style6      0.1305   0.2308   0.5806   0.1312   0.9599   0.2308
00203_style7      0.2119   0.3497   0.7986   0.2218   0.8258   0.3497
00220             0.3921   0.5633   0.6148   0.6415   0.5021   0.5633
00220_style0      0.7681   0.8688   0.8557   0.7895   0.9659   0.8688
00220_style1      0.5137   0.6787   0.5314   0.5137   1.0000   0.6787
00220_style2      0.5715   0.7273   0.6292   0.5717   0.9993   0.7273
00220_style3      0.5999   0.7499   0.6699   0.5999   1.0000   0.7499
00220_style4      0.5842   0.7375   0.7473   0.7587   0.7175   0.7375
00220_style5      0.4392   0.6103   0.6518   0.6839   0.5510   0.6103
00220_style6      0.5839   0.7373   0.7340   0.7211   0.7542   0.7373
00220_style7      0.6525   0.7897   0.8004   0.8252   0.7571   0.7897
00223             0.1925   0.3229   0.9089   0.3159   0.3301   0.3229
00223_style0      0.1060   0.1917   0.4554   0.1062   0.9812   0.1917
00223_style1      0.0689   0.1289   0.1109   0.0689   1.0000   0.1289
00223_style2      0.0868   0.1597   0.3074   0.0868   1.0000   0.1597
00223_style3      0.0890   0.1635   0.3265   0.0890   1.0000   0.1635
00223_style4      0.1328   0.2344   0.5948   0.1339   0.9428   0.2344
00223_style5      0.1809   0.3064   0.7857   0.1947   0.7193   0.3064
00223_style6      0.1264   0.2244   0.5678   0.1272   0.9500   0.2244
00223_style7      0.1553   0.2688   0.6874   0.1589   0.8731   0.2688
00225             0.4148   0.5864   0.9624   0.4640   0.7965   0.5864
00225_style0      0.0719   0.1341   0.5674   0.0719   1.0000   0.1341
00225_style1      0.0352   0.0680   0.0816   0.0352   1.0000   0.0680
00225_style2      0.0526   0.1000   0.3968   0.0526   1.0000   0.1000
00225_style3      0.0660   0.1239   0.5776   0.0666   0.8911   0.1239
00225_style4      0.1020   0.1851   0.7432   0.1035   0.8703   0.1851
00225_style5      0.2337   0.3789   0.9140   0.2500   0.7829   0.3789
00225_style6      0.1336   0.2356   0.8185   0.1372   0.8352   0.2356
00225_style7      0.1396   0.2449   0.8160   0.1420   0.8905   0.2449
00228             0.3185   0.4831   0.7751   0.3300   0.9014   0.4831
00228_style0      0.2528   0.4035   0.6574   0.2532   0.9938   0.4035
00228_style1      0.1390   0.2441   0.2777   0.1390   1.0000   0.2441
00228_style2      0.1712   0.2923   0.4355   0.1712   1.0000   0.2923
